City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Sulphur,US,2021-02-03 16:51:57,30.2366,-93.3774,59.0,47,1,9.22
163,Bowen,AU,2021-02-03 16:51:57,-20.0167,148.2333,71.6,100,40,8.05
164,Upernavik,GL,2021-02-03 16:51:57,72.7868,-56.1549,-13.56,76,10,3.8
165,New Norfolk,AU,2021-02-03 16:50:56,-42.7826,147.0587,57.0,80,91,1.86
166,Okhotsk,RU,2021-02-03 16:51:57,59.3833,143.3,-24.9,76,50,22.55
167,Uvarovka,RU,2021-02-03 16:51:57,55.5278,35.6061,27.39,99,100,8.66
168,Erzin,TR,2021-02-03 16:51:58,36.9559,36.2,60.8,72,75,6.91
169,Rio Cuarto,AR,2021-02-03 16:49:06,-33.1307,-64.3499,73.99,56,75,6.91
170,Qui Nhon,VN,2021-02-03 16:51:58,13.7667,109.2333,70.05,87,43,13.18
171,Khatanga,RU,2021-02-03 16:51:58,71.9667,102.5,-7.11,91,100,7.18
172,Coihaique,CL,2021-02-03 16:51:58,-45.5752,-72.0662,73.4,49,0,3.44
173,Bar Harbor,US,2021-02-03 16:51:58,44.3876,-68.2039,36.0,93,90,8.05
174,Beyneu,KZ,2021-02-03 16:51:58,45.3167,55.2,45.16,65,92,9.84
175,Brae,GB,2021-02-03 16:51:59,60.3964,-1.353,37.4,60,40,14.97
176,Lata,PT,2021-02-03 16:51:59,40.1629,-8.3327,61.0,68,49,5.01
177,Quimper,FR,2021-02-03 16:51:59,48.0,-4.1,51.8,71,20,9.22
178,Arraial Do Cabo,BR,2021-02-03 16:52:00,-22.9661,-42.0278,91.4,58,0,17.27
179,Raudeberg,NO,2021-02-03 16:52:01,61.9875,5.1352,24.8,68,0,6.91
180,Daru,PG,2021-02-03 16:52:01,-9.0763,143.2092,77.65,89,61,10.65
181,Saint-Joseph,RE,2021-02-03 16:52:01,-21.3667,55.6167,82.4,65,75,1.14
182,Ulaangom,MN,2021-02-03 16:52:01,49.9811,92.0667,-10.89,88,100,0.49
183,Inhambane,MZ,2021-02-03 16:52:01,-23.865,35.3833,84.2,89,40,2.3
184,Half Moon Bay,US,2021-02-03 16:52:01,37.4636,-122.4286,50.0,87,75,3.15
185,Tabou,CI,2021-02-03 16:52:02,4.423,-7.3528,81.41,82,6,8.88
186,Minot,US,2021-02-03 16:52:02,48.2325,-101.2963,26.6,74,90,20.71
187,Alexandria,EG,2021-02-03 16:52:02,31.2156,29.9553,66.2,72,40,5.75
188,Castro,BR,2021-02-03 16:52:02,-24.7911,-50.0119,81.23,69,30,4.5
189,Great Falls,US,2021-02-03 16:51:28,47.5002,-111.3008,17.6,85,90,12.66
