City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Shilka,RU,51.85,116.0333,7.21,92,100,4.29,overcast clouds
158,Khilok,RU,51.3674,110.4676,14.97,91,100,2.55,overcast clouds
159,Westport,US,41.1415,-73.3579,33.01,86,90,10.36,light rain
160,Cabo San Lucas,MX,22.8909,-109.9124,73.99,60,1,9.22,clear sky
161,Antsohihy,MG,-14.8796,47.9875,76.01,92,100,2.75,moderate rain
162,Provideniya,RU,64.3833,-173.3,-5.64,77,0,14.27,clear sky
163,Bridgetown,BB,13.1,-59.6167,80.6,61,40,19.57,scattered clouds
164,Flagstaff,US,35.1981,-111.6513,53.01,36,1,16.11,clear sky
165,Lebu,CL,-37.6167,-73.65,67.37,67,3,13.42,clear sky
166,Clyde River,CA,70.4692,-68.5914,-0.4,92,20,6.91,snow
167,Souillac,MU,-20.5167,57.5167,78.8,78,20,4.61,few clouds
168,Tuatapere,NZ,-46.1333,167.6833,51.78,89,100,5.39,light rain
169,Weiser,US,44.251,-116.9693,42.8,39,1,1.63,clear sky
170,San Quintin,MX,30.4833,-115.95,60.08,66,100,7.34,overcast clouds
171,Laguna,US,38.421,-121.4238,64.0,55,1,4.07,clear sky
172,Gizo,SB,-8.103,156.8419,82.22,76,49,13.35,moderate rain
173,Idukki,IN,9.85,76.9667,63.03,67,1,4.07,clear sky
174,Krasnyy Chikoy,RU,50.3643,108.7512,11.53,90,89,1.83,overcast clouds
175,Bambous Virieux,MU,-20.3428,57.7575,78.8,78,20,4.61,few clouds
176,Lompoc,US,34.6391,-120.4579,55.4,71,75,3.44,broken clouds
177,Okhotsk,RU,59.3833,143.3,10.04,87,99,25.41,overcast clouds
178,Ahipara,NZ,-35.1667,173.1667,68.7,90,100,7.0,moderate rain
179,Grindavik,IS,63.8424,-22.4338,30.2,93,90,10.36,light snow
180,Srednekolymsk,RU,67.45,153.6833,-16.02,87,0,5.53,clear sky
181,Port Keats,AU,-14.25,129.55,78.4,83,100,1.63,light rain
182,Uribia,CO,11.7139,-72.266,89.13,44,100,22.62,overcast clouds
183,Dandong,CN,40.1292,124.3947,26.35,96,0,3.44,clear sky
184,Tshela,CD,-4.9833,12.9333,72.18,95,100,1.3,overcast clouds
185,Cidreira,BR,-30.1811,-50.2056,76.64,78,0,17.38,clear sky
186,Parrita,CR,9.5201,-84.3225,80.6,50,40,14.97,scattered clouds
187,Mercedes,AR,-34.6515,-59.4307,75.99,76,89,1.99,overcast clouds
188,Dunedin,NZ,-45.8742,170.5036,51.01,88,100,4.0,overcast clouds
189,Mahebourg,MU,-20.4081,57.7,78.8,78,20,4.61,few clouds
190,Novikovo,RU,51.1537,37.8879,18.32,96,100,9.19,overcast clouds
191,Anadyr,RU,64.75,177.4833,5.0,78,0,4.47,clear sky
192,Tasiilaq,GL,65.6145,-37.6368,17.6,53,75,19.57,broken clouds
193,Porkhov,RU,57.765,29.5561,10.4,79,100,8.95,overcast clouds
194,Victoria,HK,22.2855,114.1577,64.0,82,96,1.01,overcast clouds
195,Comodoro Rivadavia,AR,-45.8667,-67.5,82.4,34,0,13.8,clear sky
196,Turukhansk,RU,65.8167,87.9833,4.32,94,96,13.2,overcast clouds
197,Aban,RU,56.67,96.06,-2.29,90,13,6.04,few clouds
198,Kuusamo,FI,65.9667,29.1833,-2.2,78,90,5.75,light snow
199,Verkhnevilyuysk,RU,63.4453,120.3167,-26.03,85,24,6.17,few clouds
200,Saskylakh,RU,71.9167,114.0833,-24.11,83,0,8.39,clear sky
201,Port Elizabeth,ZA,-33.918,25.5701,69.8,94,0,8.05,clear sky
202,Portland,US,45.5234,-122.6762,45.0,72,100,1.99,overcast clouds
203,Sao Filipe,CV,14.8961,-24.4956,70.79,76,100,10.89,overcast clouds
204,Lata,PT,40.1629,-8.3327,57.0,87,77,1.01,broken clouds
205,Brewster,US,41.3973,-73.6171,28.4,86,90,4.61,light snow
206,Sorland,NO,67.667,12.6934,31.23,85,5,20.47,clear sky
207,Porto Real,BR,-22.4197,-44.2903,72.86,85,68,4.79,moderate rain
208,Prince Rupert,CA,54.3161,-130.3201,24.8,74,90,4.61,light snow
209,Alice Springs,AU,-23.7,133.8833,80.6,69,75,8.05,broken clouds
210,Yate,GB,51.5407,-2.4184,33.01,78,82,8.99,broken clouds
211,Bilma,NE,18.6853,12.9164,71.19,18,0,8.25,clear sky
212,Katsuura,JP,35.1333,140.3,39.2,38,20,11.5,few clouds
213,Springbok,ZA,-29.6643,17.8865,75.24,41,0,4.0,clear sky
214,Sitka,US,57.0531,-135.33,17.6,38,1,5.75,clear sky
215,Ouallam,NE,14.3188,2.0866,80.13,12,0,9.28,clear sky
216,Lorengau,PG,-2.0226,147.2712,81.36,78,100,3.67,overcast clouds
217,Gao,ML,16.6362,1.637,78.49,14,23,10.45,few clouds
218,Hasaki,JP,35.7333,140.8333,32.0,55,20,5.75,few clouds
219,Pochutla,MX,15.7432,-96.4661,90.0,48,20,11.5,few clouds
220,Tomatlan,MX,19.9333,-105.25,85.05,45,0,9.62,clear sky
221,Atar,MR,20.5169,-13.0499,68.61,23,0,8.84,clear sky
222,Charqueada,BR,-22.5097,-47.7781,80.01,50,11,3.0,few clouds
223,Taoudenni,ML,22.6783,-3.9836,69.6,20,0,11.27,clear sky
224,New Richmond,US,45.123,-92.5366,9.0,47,1,17.27,clear sky
225,Hamilton,US,39.1834,-84.5333,32.0,69,90,4.61,haze
226,Saint Anthony,US,45.0205,-93.218,9.0,43,1,13.8,clear sky
227,Lisakovsk,KZ,52.5369,62.4936,-9.87,86,0,8.97,clear sky
228,Ugoofaaru,MV,5.6667,73.0,81.75,67,5,6.78,clear sky
229,Leshukonskoye,RU,64.8989,45.7622,-9.0,91,99,2.57,overcast clouds
230,Korem,ET,12.5058,39.5228,47.98,89,94,5.32,overcast clouds
231,Aripuana,BR,-9.1667,-60.6333,81.88,79,85,5.57,very heavy rain
232,Maniitsoq,GL,65.4167,-52.9,21.6,82,0,4.27,clear sky
233,Valparaiso,CL,-33.0393,-71.6273,71.6,60,20,8.05,few clouds
234,Bend,US,44.0582,-121.3153,41.0,56,1,5.75,clear sky
235,Los Altos Hills,US,37.3797,-122.1375,59.0,72,75,4.18,broken clouds
236,Thompson,CA,55.7435,-97.8558,-22.0,63,40,9.22,scattered clouds
237,Krasnyy Kut,RU,50.95,46.9667,5.02,94,100,18.03,snow
238,Abha,SA,18.2164,42.5053,50.0,76,0,3.65,clear sky
239,Turinskaya Sloboda,RU,57.6232,64.3858,-12.55,89,100,8.34,overcast clouds
240,Cherlak,RU,54.155,74.8055,-15.03,88,93,9.28,overcast clouds
241,Bandarbeyla,SO,9.4942,50.8122,75.31,70,99,22.68,overcast clouds
242,Luganville,VU,-15.5333,167.1667,78.93,76,65,1.36,broken clouds
